State&County,Surface_Mines,Underground_Mines
"Pennsylvania, Clearfield",22,2.0
"Pennsylvania, Schuylkill",22,5.0
"Pennsylvania, Somerset",13,5.0
"West Virginia, Mcdowell",13,12.0
"Kentucky, Pike",13,14.0
"Wyoming, Campbell",11,
"Pennsylvania, Northumberland",10,3.0
"West Virginia, Logan",9,12.0
"Virginia, Buchanan",9,8.0
"Virginia, Wise",8,5.0
"West Virginia, Boone",8,5.0
"Kentucky, Bell",8,2.0
"Maryland, Allegany",7,
"Alabama, Jefferson",7,3.0
"Alabama, Walker",7,2.0
"Kentucky, Harlan",7,5.0
"West Virginia, Mingo",6,2.0
"Pennsylvania, Cambria",6,2.0
"West Virginia, Wyoming",6,8.0
"Pennsylvania, Jefferson",5,1.0
"Virginia, Dickenson",5,4.0
"West Virginia, Raleigh",5,8.0
"Kentucky, Whitley",5,
"Pennsylvania, Luzerne",4,
"Alabama, Tuscaloosa",4,1.0
"Pennsylvania, Clarion",4,
"Kentucky, Perry",4,4.0
"West Virginia, Nicholas",4,1.0
"Kentucky, Knox",4,1.0
"Kentucky, Knott",4,1.0
"West Virginia, Fayette",3,3.0
"West Virginia, Webster",3,
"Maryland, Garrett",3,1.0
"Montana, Big Horn",3,
"North Dakota, Mercer",3,
"Kentucky, Johnson",3,
"Kentucky, Leslie",3,1.0
"Indiana, Warrick",3,
"Pennsylvania, Indiana",3,7.0
"Pennsylvania, Fayette",3,
"West Virginia, Kanawha",3,4.0
"West Virginia, Greenbrier",3,1.0
"Texas, Harrison",2,
"Ohio, Harrison",2,2.0
"Pennsylvania, Westmoreland",2,1.0
"Virginia, Russell",2,
"Kentucky, Martin",2,
"Pennsylvania, Columbia",2,
"Wyoming, Sweetwater",2,1.0
"Colorado, Moffat",2,
"Virginia, Tazewell",2,
"Pennsylvania, Bedford",2,
"Illinois, Perry",2,1.0
"Kentucky, Letcher",2,
"Indiana, Daviess",2,
"West Virginia, Randolph",2,2.0
"Kentucky, Daviess",2,
"Indiana, Dubois",2,
"Pennsylvania, Carbon",1,
"Wyoming, Converse",1,
"Wyoming, Lincoln",1,
"West Virginia, Grant",1,
"West Virginia, Mercer",1,1.0
"Utah, Kane",1,
"West Virginia, Marion",1,1.0
"Tennessee, Claiborne",1,1.0
"West Virginia, Moffat",1,
"Texas, Atascosa",1,
"West Virginia, Mineral",1,
"Texas, Robertson",1,
"Texas, Maverick",1,
"Texas, Limestone",1,
"Texas, Rusk",1,
"Pennsylvania, Washington",1,1.0
"North Dakota, Oliver",1,
"Pennsylvania, Lycoming",1,
"Indiana, Saline",1,
"Alabama, De Kalb",1,
"Alabama, Shelby",1,
"Illinois, Wabash",1,
"Illinois, Saline",1,
"Illinois, Randolph",1,1.0
"Indiana, Pike",1,
"Indiana, Gibson",1,2.0
"Indiana, Sullivan",1,1.0
"Illinois, Gibson",1,
"Indiana, Clay",1,
"Indiana, Spencer",1,
"Kentucky, Floyd",1,4.0
"Kentucky, Breathitt",1,
"Kentucky, Morgan",1,
"Oklahoma, Craig",1,
"Louisiana, De Soto",1,
"Louisiana, Natchitoches",1,
"Mississippi, Choctaw",1,
"Missouri, Bates",1,
"Montana, Richland",1,
"Montana, Rosebud",1,
"New Mexico, San Juan",1,1.0
"New Mexico, Mckinley",1,
"North Dakota, Mclean",1,
"Ohio, Belmont",1,
"Ohio, Noble",1,
"Ohio, Tuscarawas",1,1.0
"Oklahoma, Okmulgee",1,
"Alaska, Denali",1,
